lat,long,PVOUT_csi (kWh/kWp),DNI (kWh/m2),GHI (kWh/m2),DIF (kWh/m2),GTI_opta (kWh/m2),OPTA (°),TEMP (°C),ELE (m)
32.0,77.5,1286.0635986328125, 1308.4375, 1531.8515625, 661.1328125, 1718.7109375, 33, 6.6875, 2769
32.0,78.0,1808.83056640625, 1843.28125, 1855.546875, 601.8671875, 2083.5703125, 32, -12.75, 5288
24.5,76.5,1623.206787109375, 1519.9375, 1918.5703125, 889.1484375, 2089.015625, 26, 26.3125, 322
21.5,76.5,1580.6441650390625, 1461.6328125, 1897.984375, 890.484375, 2042.9921875, 24, 26.8125, 323
21.5,85.5,1537.402099609375, 1367.703125, 1814.796875, 870.6953125, 1945.6796875, 24, 23.75, 601
24.5,81.5,1581.860595703125, 1401.1640625, 1864.5234375, 901.0859375, 2020.0703125, 26, 25.25, 327
21.5,75.0,1603.644287109375, 1490.296875, 1922.8515625, 895.890625, 2068.078125, 24, 26.8125, 258
19.0,84.0,1516.5506591796875, 1246.34375, 1798.9296875, 884.515625, 1903.421875, 22, 25.3125, 318
19.0,84.5,1465.7032470703125, 1163.171875, 1749.6796875, 888.796875, 1848.71875, 21, 25.875, 173
24.5,72.5,1752.4443359375, 1915.3125, 2040.453125, 784.0546875, 2262.015625, 28, 26.0625, 263
20.0,80.0,1590.7984619140625, 1468.296875, 1911.0625, 886.7265625, 2052.171875, 24, 27.8125, 204
27.0,74.5,1699.68408203125, 1643.265625, 1956.484375, 874.5625, 2183.7734375, 30, 26, 367
15.5,76.5,1627.3355712890625, 1499.6328125, 2000.1875, 929.34375, 2097.65625, 20, 27.4375, 433
25.5,73.0,1765.3306884765625, 1907.578125, 2050.0390625, 797.3125, 2282.0078125, 29, 26.375, 206
25.5,82.5,1500.1981201171875, 1196.71875, 1785.9765625, 951.0703125, 1913.15625, 24, 25.8125, 88
27.0,74.0,1716.8209228515625, 1703.984375, 1979.1015625, 860.9609375, 2209.4296875, 30, 26.0625, 303
16.5,77.5,1615.8363037109375, 1446.8984375, 1978.2734375, 944.40625, 2081.5703125, 21, 27.8125, 374
35.0,78.5,1731.0379638671875, 1557.2109375, 1671.296875, 616.390625, 1907.421875, 34, -16.1875, 5587
24.0,82.5,1588.5174560546875, 1425.6484375, 1873.75, 892.9296875, 2031.2890625, 26, 25.8125, 298
25.5,73.5,1758.11083984375, 1904.8359375, 2044.71875, 793.8828125, 2274.421875, 29, 26.5, 281
16.5,77.0,1598.9346923828125, 1411.96875, 1963.953125, 956.0078125, 2063.4921875, 20, 28.1875, 359
15.5,76.0,1615.483154296875, 1471.578125, 1967.6640625, 924.140625, 2069.078125, 21, 26.1875, 594
13.0,78.5,1596.1575927734375, 1433.328125, 1972.28125, 923.4375, 2029.25, 16, 24.75, 714
14.5,77.0,1609.8011474609375, 1501.78125, 1984, 912.1484375, 2072.609375, 19, 26.5625, 544
21.5,81.5,1594.0877685546875, 1445.75, 1896.640625, 895.5625, 2045.546875, 25, 26.6875, 291
28.0,76.0,1584.41015625, 1364.359375, 1831.53125, 924.578125, 2024.75, 29, 25.25, 344
12.0,77.0,1585.4342041015625, 1421.484375, 1956.609375, 921.96875, 2020.140625, 16, 24.5625, 676
25.5,78.0,1602.3822021484375, 1429.9296875, 1879.484375, 911.9609375, 2053.375, 27, 25.75, 297
13.5,76.0,1600.88623046875, 1504.34375, 1952.421875, 878.171875, 2035.9296875, 19, 24.0625, 774
10.5,75.5,1569.157470703125, 1294.71875, 1921.9140625, 949.921875, 1970.8125, 14, 27.0625, -110
12.0,76.0,1520.1328125, 1307.5546875, 1859.3125, 904.1171875, 1918.2109375, 16, 22.375, 832
28.0,75.0,1625.28173828125, 1440.203125, 1870.796875, 919.0859375, 2078.859375, 30, 26, 331
24.0,74.5,1674.8350830078125, 1698.234375, 1970.1015625, 832.1484375, 2164.2109375, 27, 26.6875, 227
35.0,77.5,1812.097412109375, 1858.0859375, 1776.7265625, 616.46875, 2059.6796875, 35, -18.75, 5554
21.0,73.0,1622.1612548828125, 1527.5078125, 1941.75, 893.9296875, 2086.640625, 24, 27.4375, 15
23.0,81.0,1613.840576171875, 1556.4765625, 1884.953125, 839.3828125, 2055.8984375, 26, 23.625, 718
23.0,75.5,1634.6767578125, 1561.2421875, 1932.859375, 875, 2101.0546875, 26, 25.4375, 491
13.5,76.5,1619.89208984375, 1530.40625, 1983.765625, 889.7578125, 2066.921875, 18, 24.75, 739
23.0,76.5,1621.9615478515625, 1515.125, 1913.59375, 883.9140625, 2077.5, 26, 25.4375, 492
24.5,72.0,1744.760009765625, 1857.15625, 2033.3515625, 813.484375, 2253.4140625, 29, 26.875, 132
27.0,83.0,1482.9205322265625, 1217.4765625, 1747.7109375, 912.8671875, 1882.28125, 25, 25.1875, 83
16.0,78.5,1563.498291015625, 1385.5390625, 1918.5, 920.171875, 2011.4921875, 20, 27.625, 371
23.0,80.5,1638.029052734375, 1590.2265625, 1909.484375, 837.3203125, 2083, 26, 23.8125, 728
28.0,76.5,1555.5440673828125, 1305.4765625, 1805, 931.859375, 1984.1328125, 28, 25.1875, 281
19.0,79.5,1582.4102783203125, 1426.7890625, 1908.8515625, 903.109375, 2037.40625, 23, 27.75, 191
27.0,78.0,1529.6280517578125, 1252.4921875, 1799.125, 943.6328125, 1952.5625, 26, 25.5, 155
10.5,75.0,1567.742919921875, 1303.3046875, 1923.4140625, 945.265625, 1970.3671875, 14, 27.25, -1548
27.0,83.5,1470.8641357421875, 1203.3125, 1734.2734375, 904.3203125, 1864.4765625, 25, 25, 98
20.5,79.5,1592.6104736328125, 1450.46875, 1909.2890625, 899.4375, 2051.2890625, 24, 27.5625, 228
25.0,83.0,1505.400390625, 1234.3515625, 1802.7578125, 933.9296875, 1927.515625, 24, 25.8125, 136
20.0,80.5,1581.1553955078125, 1463.7265625, 1892.6953125, 877.2890625, 2031.6953125, 24, 26.75, 317
28.5,78.0,1507.6978759765625, 1213.6953125, 1758.75, 938.1796875, 1914.8359375, 27, 24.6875, 207
16.0,78.0,1579.1641845703125, 1397.6328125, 1942.4609375, 941.453125, 2036.2734375, 20, 28.375, 294
31.5,76.5,1564.5438232421875, 1445.9375, 1763.8125, 836.0234375, 1972.53125, 30, 20.25, 707
20.5,79.0,1588.0712890625, 1432.5546875, 1908.96875, 909.6640625, 2047.1015625, 24, 27.6875, 229
24.0,73.5,1737.0633544921875, 1879.96875, 2028.140625, 784.5390625, 2238.6015625, 28, 25.5625, 421
32.5,76.0,1587.77783203125, 1520.2734375, 1703.3984375, 753.90625, 1947.8046875, 31, 10.375, 2324
21.0,73.5,1597.93212890625, 1506.671875, 1920.9453125, 886.609375, 2065.0859375, 24, 26.6875, 132
24.5,84.5,1544.282958984375, 1292.4765625, 1827.171875, 929.125, 1961.890625, 24, 25, 313
32.5,76.5,1466.7265625, 1150.8203125, 1431.265625, 568.4453125, 1488.265625, 33, 4.8125, 2505
31.5,76.0,1498.0479736328125, 1278.484375, 1715.4921875, 881.4453125, 1897.359375, 29, 23.3125, 333
31.0,75.0,1507.1990966796875, 1235.796875, 1741.0703125, 919.921875, 1911.90625, 28, 24.0625, 208
27.5,81.0,1509.0089111328125, 1260.96875, 1775.5546875, 915.2265625, 1917.984375, 25, 24.875, 129
19.0,83.0,1544.5333251953125, 1416.171875, 1828.9140625, 827.6953125, 1944.6953125, 24, 22.9375, 809
27.0,79.0,1517.3084716796875, 1222.25, 1789.453125, 947.453125, 1932.875, 25, 25.3125, 152
31.0,78.5,1569.706298828125, 1457.015625, 1596.1171875, 675.90625, 1846.1015625, 38, -5.4375, 4777
23.0,85.0,1588.8836669921875, 1423.203125, 1859.6015625, 883.4375, 2017.3984375, 26, 24.0625, 534
21.5,72.0,1661.806884765625, 1680.5625, 1990.296875, 853.3828125, 2151.9375, 25, 28, 84
33.5,77.0,1759.382568359375, 1806.7421875, 1838.140625, 596.9140625, 2089.015625, 33, -5.375, 4257
20.5,78.0,1584.78857421875, 1440.2265625, 1916.1328125, 912.078125, 2050.2109375, 24, 27.3125, 346
31.0,75.5,1502.611572265625, 1242.9453125, 1734.5, 910.8359375, 1904.0390625, 28, 23.75, 224
22.5,72.5,1700.96142578125, 1750.34375, 2015.1796875, 834.34375, 2193.3515625, 26, 27.4375, 17
28.5,78.5,1504.2745361328125, 1216.5234375, 1753.3984375, 931.671875, 1909.3515625, 27, 24.5625, 194
17.0,75.0,1580.5999755859375, 1385.84375, 1925.2421875, 943.796875, 2028.75, 21, 26.375, 638
19.0,82.5,1596.2684326171875, 1517.5625, 1893.6875, 840.8984375, 2038.0546875, 24, 24.625, 579
30.0,78.0,1522.158447265625, 1315.296875, 1746.9609375, 882.5390625, 1931.34375, 29, 23.4375, 316
27.0,77.5,1542.9925537109375, 1286.9296875, 1810.625, 936.9609375, 1972.9921875, 27, 25.625, 183
23.5,74.0,1683.4739990234375, 1712, 1982.734375, 834.265625, 2171.8125, 26, 26.9375, 145
24.0,73.0,1728.08837890625, 1876.765625, 2019.796875, 782.765625, 2232.609375, 28, 26.1875, 195
24.5,85.0,1530.1591796875, 1273.015625, 1819.65625, 930.5234375, 1952.8671875, 25, 25.8125, 162
24.0,74.0,1701.9581298828125, 1766.3359375, 2003.9609375, 821.4453125, 2195.7734375, 26, 26.625, 224
23.5,74.5,1666.50341796875, 1681.8984375, 1970.359375, 836.640625, 2152.640625, 26, 26.5, 316
19.5,73.0,1565.944580078125, 1426.625, 1890.9609375, 900.375, 2021.078125, 23, 27.0625, 15
19.5,73.5,1547.2396240234375, 1402.828125, 1867.984375, 891.7890625, 2001.8671875, 24, 26.4375, 235
13.5,75.5,1540.2506103515625, 1419.6171875, 1880.484375, 864.3046875, 1966.5, 20, 23, 810
23.0,85.5,1529.7138671875, 1333.8359375, 1818.5859375, 897.2265625, 1960.4921875, 25, 25.4375, 325
31.5,78.0,1376.111572265625, 1350.2109375, 1531.5703125, 678.1640625, 1728.3671875, 32, 2.75, 3631
27.5,76.0,1606.8133544921875, 1467.6484375, 1874.828125, 905.3046875, 2070.578125, 29, 24.625, 440
31.5,78.5,1355.435546875, 1314.5, 1534.203125, 624.484375, 1677.5703125, 31, -2.75, 3980
19.5,82.5,1597.3153076171875, 1496.359375, 1889.6796875, 855.234375, 2032.9765625, 25, 24.625, 620
27.0,77.0,1575.6126708984375, 1353.546875, 1838.3515625, 926.2578125, 2014.40625, 28, 25.5625, 230
19.0,82.0,1596.580078125, 1503.765625, 1893.5546875, 851.609375, 2035.234375, 24, 24.8125, 589
19.0,74.0,1620.03564453125, 1498.046875, 1952.4609375, 909.28125, 2076.3046875, 22, 24.6875, 617
22.5,72.0,1683.9052734375, 1751.578125, 2008.3046875, 830.65625, 2184.671875, 26, 28.8125, 14
14.5,75.5,1618.748291015625, 1506.7578125, 1969.1171875, 896.71875, 2065.1640625, 20, 25.1875, 597
26.5,74.5,1698.597900390625, 1689.609375, 1966.0078125, 852.59375, 2188.9296875, 29, 25.6875, 432
19.0,74.5,1611.996337890625, 1467.7734375, 1938.015625, 915.8828125, 2060.6953125, 22, 25, 762
22.5,74.5,1660.700439453125, 1639.9375, 1964.2734375, 853.09375, 2135.34375, 26, 25.625, 375
23.5,83.0,1586.60400390625, 1468.96875, 1867.5078125, 867.7734375, 2030.0390625, 26, 24.1875, 576
22.5,74.0,1651.6175537109375, 1628.6640625, 1951.9296875, 851.0546875, 2125.828125, 26, 26.625, 201
27.5,85.0,1456.1795654296875, 1178.4140625, 1645.03125, 838.640625, 1816.4921875, 27, 18.1875, 1228
25.5,79.5,1554.8055419921875, 1324.59375, 1840.609375, 930.3828125, 1991.1328125, 26, 26.125, 166
24.5,75.0,1677.721923828125, 1678.84375, 1967.75, 848.234375, 2157.71875, 27, 25.75, 457
28.0,77.5,1516.2620849609375, 1221.03125, 1772.171875, 944.3125, 1929.8125, 27, 25.0625, 190
17.0,78.0,1617.5958251953125, 1455.578125, 1955.5390625, 921.2578125, 2062.0390625, 21, 25.5, 652
14.0,77.5,1612.669677734375, 1505.90625, 1986.4296875, 908.984375, 2067.8359375, 18, 26.25, 601
27.5,76.5,1552.855712890625, 1255.359375, 1758.828125, 870.96875, 1933.890625, 28, 24.375, 475
16.0,77.0,1599.4158935546875, 1431.421875, 1966.8828125, 944.65625, 2063.8984375, 20, 28.1875, 369
26.0,85.0,1433.037841796875, 1080.34375, 1707.3125, 946.1796875, 1819.984375, 23, 25.75, 59
11.0,78.0,1595.4365234375, 1410.390625, 2020.8125, 967.4375, 2058.5234375, 12, 29.0625, 171
23.0,84.5,1593.143798828125, 1465.0859375, 1858.2734375, 863.734375, 2021.9140625, 26, 23.1875, 717
19.5,78.5,1588.2703857421875, 1433.3515625, 1911.609375, 907.453125, 2041, 23, 26.75, 447
12.5,75.5,1476.99560546875, 1235.65625, 1824.25, 918.984375, 1894.6484375, 18, 26, 191
26.0,76.0,1637.4429931640625, 1520.3359375, 1914.8046875, 897.703125, 2106, 28, 26.375, 267
22.5,79.5,1601.939453125, 1542.6015625, 1893.75, 849.9140625, 2055.1484375, 26, 25.25, 570
23.0,84.0,1591.5145263671875, 1493.4296875, 1855.8515625, 843.3203125, 2021.7578125, 26, 22.0625, 871
27.5,81.5,1523.8883056640625, 1311.4921875, 1789.421875, 896.796875, 1937.4609375, 26, 24.875, 119
11.0,78.5,1583.890380859375, 1401.6640625, 2010.0703125, 958.0546875, 2045.1875, 12, 29.1875, 102
12.5,78.0,1576.37939453125, 1403.515625, 1952.9375, 921.1484375, 2007.125, 15, 25, 692
12.5,75.0,1575.729248046875, 1349.1640625, 1932.015625, 932.2734375, 2000.3359375, 17, 27.125, 1
21.0,74.0,1650.9609375, 1613.703125, 1957.6015625, 854.078125, 2106.53125, 24, 23.875, 631
22.0,79.5,1605.2454833984375, 1519.3671875, 1887.5703125, 856.875, 2048.9765625, 26, 24.9375, 654
21.5,81.0,1583.563720703125, 1454.71875, 1884.4140625, 882.171875, 2033.5546875, 25, 26.625, 327
12.0,76.5,1604.232666015625, 1447.90625, 1974.640625, 916.4375, 2039.859375, 16, 24.3125, 687
24.0,84.0,1562.8564453125, 1372.953125, 1855.53125, 904.9609375, 1997.6171875, 25, 25.25, 249
25.0,80.0,1575.88232421875, 1380.2421875, 1864.09375, 912.9296875, 2019.9375, 26, 26.125, 183
22.5,80.0,1599.237548828125, 1522.734375, 1887.4453125, 853.0625, 2052.84375, 26, 25.6875, 469
19.0,73.0,1589.11767578125, 1413.7265625, 1907.0234375, 911.71875, 2024.0703125, 22, 26.8125, -28
24.5,85.5,1532.945556640625, 1278.3671875, 1810.875, 926.8046875, 1945.0703125, 24, 24.6875, 365
14.5,75.0,1592.7412109375, 1457.71875, 1929.7578125, 892.5390625, 2027.5390625, 20, 24.6875, 576
22.5,79.0,1620.5693359375, 1590.703125, 1913.15625, 840.390625, 2077.1328125, 26, 24.3125, 739
29.5,78.0,1499.422119140625, 1248.5546875, 1739.34375, 905.7890625, 1902.4765625, 27, 24, 223
19.5,82.0,1590.308837890625, 1491.96875, 1886.2421875, 857.953125, 2030.9453125, 24, 24.9375, 590
19.5,72.0,1676.4627685546875, 1569.171875, 1986.3125, 890, 2114.4453125, 22, 26.875, -30
12.0,75.0,1580.9595947265625, 1316.375, 1924.9453125, 941.390625, 1986.890625, 16, 27, -39
24.5,76.0,1642.5079345703125, 1559.6640625, 1936.5390625, 883.71875, 2113.6640625, 26, 26.5, 336
22.0,79.0,1614.4375, 1547.328125, 1905.0625, 852.4765625, 2067.109375, 26, 24.6875, 686
25.0,80.5,1553.6895751953125, 1338.1796875, 1834.25, 897.9765625, 1987.3671875, 25, 25.75, 309
12.0,75.5,1510.864013671875, 1230.8984375, 1861.625, 954.5625, 1925.1875, 17, 26.9375, 19
20.5,82.0,1565.03173828125, 1430.0234375, 1870.0078125, 883.4140625, 2009.421875, 24, 26.375, 380
20.5,78.5,1591.900390625, 1435.53125, 1916.9453125, 914.75, 2054.40625, 24, 27.8125, 243
21.5,74.5,1616.9228515625, 1519.96875, 1944.8828125, 895.109375, 2089.4140625, 24, 26.8125, 149
23.0,76.0,1622.890380859375, 1529.9296875, 1913.265625, 873.6640625, 2078.2578125, 26, 25.25, 516
23.0,75.0,1641.2783203125, 1597.34375, 1942.6796875, 862.21875, 2113.4765625, 26, 25.8125, 425
25.5,79.0,1568.9503173828125, 1359.2421875, 1854.1953125, 924.4296875, 2009.34375, 26, 25.9375, 211
35.5,76.0,1464.3814697265625, 1286.5546875, 1515.015625, 673.9140625, 1681.8125, 32, -15, 5234
23.5,83.5,1611.93408203125, 1508.390625, 1876.421875, 856.6484375, 2040.65625, 27, 23.0625, 708
30.0,77.5,1494.0970458984375, 1252.5234375, 1724.671875, 891.9765625, 1892.3515625, 28, 23.5625, 283
20.0,79.5,1579.771484375, 1426.53125, 1901.203125, 905.1171875, 2036.21875, 23, 27.75, 195
23.5,78.5,1617.0030517578125, 1532.515625, 1894.6015625, 860.2265625, 2066.765625, 26, 24.875, 584
19.0,83.5,1521.7587890625, 1318.234375, 1824.890625, 871.7890625, 1935.15625, 23, 24.4375, 474
25.5,85.5,1453.9627685546875, 1109.421875, 1733.9453125, 948.75, 1847.0390625, 23, 25.875, 50
26.0,76.5,1616.3138427734375, 1485.578125, 1893.0390625, 893.390625, 2073.8046875, 27, 25.625, 312
17.5,78.0,1585.753662109375, 1406.5546875, 1924.953125, 930.4921875, 2031.40625, 21, 26, 586
35.5,76.5,1431.0804443359375, 1207.0859375, 1471.5, 700.7890625, 1635.03125, 32, -14.5, 5231
18.0,81.0,1554.549072265625, 1380.5390625, 1882.6875, 903.1328125, 1997.84375, 22, 28.1875, 134
27.5,85.5,1329.7479248046875, 1053.5390625, 1462.671875, 769.4921875, 1576.65625, 28, 11.875, 2331
34.0,76.0,1526.367919921875, 1383.1640625, 1566.8515625, 626.28125, 1749.5, 33, -15.125, 5393
26.5,75.0,1677.6727294921875, 1609.8515625, 1943.8515625, 879.8671875, 2157.3984375, 29, 25.875, 387
26.5,84.0,1441.6761474609375, 1111.1015625, 1710.78125, 934.359375, 1831.9375, 24, 25.4375, 75
29.0,78.0,1505.059326171875, 1233.5625, 1750.8828125, 922.2890625, 1909.6796875, 27, 24.375, 224
27.0,72.0,1757.05517578125, 1753.5078125, 2034.0703125, 876.1875, 2268.203125, 30, 27.125, 232
22.5,83.5,1617.4942626953125, 1511.25, 1896.359375, 864.7578125, 2060.4375, 26, 24.4375, 554
12.5,78.5,1563.564697265625, 1371.9453125, 1952.6640625, 939.1328125, 2003.734375, 15, 26.75, 422
14.5,77.5,1620.061767578125, 1502.28125, 2002.7421875, 923.4375, 2087.0546875, 19, 27.5625, 420
11.5,77.5,1595.43701171875, 1416.9765625, 2002.6171875, 942.078125, 2051.9609375, 14, 28, 200
33.0,76.0,1480.789794921875, 1513.078125, 1641.9609375, 681.2109375, 1829.15625, 32, 4.3125, 2853
33.0,75.5,1410.30859375, 1307.765625, 1570.078125, 697.4453125, 1751.6484375, 32, 10, 2102
28.5,77.5,1506.3663330078125, 1201.71875, 1755.3515625, 945.109375, 1910.5078125, 27, 24.8125, 194
20.5,82.5,1561.133056640625, 1429.5078125, 1845.3359375, 864.671875, 1982.171875, 24, 24.4375, 718
27.5,75.5,1662.788818359375, 1533.1484375, 1908.328125, 900.0390625, 2122.1953125, 29, 24.6875, 488
16.0,77.5,1598.016357421875, 1426.828125, 1962.984375, 943.234375, 2061.671875, 20, 28.25, 345
18.0,76.5,1582.552734375, 1363.71875, 1919.0234375, 955.5, 2029.078125, 21, 26.125, 614
20.5,73.5,1579.7867431640625, 1484.78125, 1898.828125, 866.7890625, 2039.5390625, 24, 25.6875, 284
26.5,84.5,1434.728515625, 1103.3671875, 1706.1640625, 933.0859375, 1823.5703125, 24, 25.625, 71
25.0,81.0,1550.972900390625, 1339.203125, 1837.3671875, 915.7578125, 1985.5546875, 25, 25.6875, 233
33.0,77.0,1736.0965576171875, 1337.5703125, 1591.8203125, 656.8984375, 1741.296875, 35, -14, 5415
21.0,82.0,1593.8734130859375, 1459.421875, 1902.6953125, 888.2109375, 2046.3125, 25, 26.75, 277
21.5,72.5,1716.753662109375, 1673.6796875, 2017.5390625, 866.0859375, 2165.515625, 23, 26.625, -8
18.0,72.5,1639.57763671875, 1467.3671875, 1958.171875, 914.2109375, 2067.78125, 20, 27.125, -36
16.5,75.5,1606.7635498046875, 1436.203125, 1962.8046875, 941.859375, 2064.59375, 20, 27, 541
24.0,79.5,1602.571533203125, 1478.9375, 1885.375, 878.78125, 2051.953125, 26, 25.5625, 340
22.0,83.5,1553.142333984375, 1393.265625, 1857.75, 895.3984375, 1997.375, 24, 26.5625, 283
21.0,83.5,1556.6212158203125, 1369.7109375, 1866.3046875, 906.4375, 2002.4375, 24, 27.75, 148
19.5,81.5,1581.67529296875, 1483.2421875, 1881.3828125, 853.84375, 2024.71875, 24, 25.25, 564
20.5,73.0,1614.2637939453125, 1491.1328125, 1922.53125, 895.5859375, 2062.1875, 24, 26.5625, 33
18.0,72.0,1655.5638427734375, 1512.9140625, 1978.9296875, 905.65625, 2090.6328125, 21, 27.25, -39
22.0,83.0,1586.315185546875, 1432.0625, 1885.6875, 893.3203125, 2036.015625, 25, 26.75, 233
20.5,74.5,1613.30615234375, 1500.265625, 1944.9140625, 905.6796875, 2081.5, 23, 26.4375, 443
