lat,long,h,wind_min, wind_max,power_ninth_decile,power_max
28.5,77.5,100,9.12, 9.14, 859.18, 859.73
26.5,76.0,200,9.59, 9.61, 1057.03, 1057.59
25.0,75.5,100,9.35, 9.38, 894.22, 894.96
16.5,76.0,200,9.8, 9.9, 1190.91, 1198.65
19.5,81.0,150,8.39, 8.58, 787.43, 795.42
12.0,78.5,200,8.05, 8.77, 992.51, 1125.41
26.5,75.5,50,8.5, 8.52, 736.34, 737.07
20.0,77.0,100,8.56, 8.73, 785.14, 787.04
20.0,74.5,150,9.53, 9.59, 1050.71, 1053.5
23.5,75.5,200,9.79, 9.81, 1123.75, 1124.11
16.0,76.5,150,9.8, 10.16, 1282.1, 1372.11
19.5,77.5,10,6.03, 6.14, 367.14, 367.7
18.0,76.5,50,8.11, 8.36, 763.13, 765.43
24.5,75.5,50,8.64, 8.67, 760.36, 760.7
11.5,78.0,10,6.38, 6.58, 410.49, 411.75
23.0,72.0,150,9.11, 9.17, 944.53, 946.45
32.0,77.5,150,9.31, 9.33, 950.42, 950.68
23.0,76.0,100,9.39, 9.41, 906.25, 906.91
27.0,79.5,50,6.65, 7.04, 500.08, 510.92
15.0,76.5,100,9.22, 9.44, 1044.81, 1049.6
20.5,79.5,150,5.59, 8.87, 889.13, 1042.94
29.5,75.0,10,7.18, 7.19, 493.6400146484375, 493.89
18.5,72.5,10,7.18, 7.2, 527.3300170898438, 527.51
26.0,81.0,50,7.92, 8.01, 684.45, 688.53
24.0,77.0,10,7.07, 7.23, 487.77, 491.36
20.0,72.0,50,8.31, 8.35, 777.11, 777.58
12.5,75.5,100,9.15, 9.18, 991.54, 992.86
10.0,77.5,10,6.61, 6.62, 441.92, 442.41
18.5,79.5,50,4.19, 7.38, 569.68, 836.34
28.0,78.5,100,8.87, 8.91, 835.73, 836.11
22.5,80.0,10,2.86, 7.11, 414.48, 963.19
23.0,79.5,100,9.13, 10.37, 1471.77, 1513.49
25.5,81.5,50,8.27, 8.28, 726.3099975585938, 726.58
23.0,79.0,100,7.19, 7.69, 570.04, 571.09
19.0,75.0,50,8.68, 8.69, 823.06, 823.41
15.5,78.0,100,6.41, 12.45, 1708.28, 2764.94
17.0,77.5,50,6.8, 12.26, 1109.96, 2451.02
35.0,78.5,150,9.25, 9.3, 958.74, 959.41
18.0,74.0,200,9.53, 9.62, 1085.63, 1088.35
23.5,80.0,50,5.65, 8.03, 854.22, 942.53
20.5,80.0,10,5.84, 6.45, 398.06, 458.73
24.5,72.5,10,7.13, 7.14, 501.64, 502.26
21.5,76.0,100,9.3, 9.33, 909.67, 910.02
16.0,75.5,150,9.53, 9.55, 1078, 1079.47
29.5,77.5,100,9.12, 9.14, 855.76, 856.33
16.0,77.5,50,4.34, 8.93, 525.8, 2167.78
30.0,78.0,10,7.03, 7.04, 480.2, 480.4
29.5,75.5,100,9.14, 9.15, 858.07, 858.42
24.5,74.0,10,7.14, 7.16, 506.01, 506.26
27.5,78.5,50,8.1, 8.16, 704.99, 705.43
22.0,75.0,10,7.39, 7.4, 518.06, 518.72
18.0,73.5,150,9.3, 9.34, 1006.28, 1007.17
18.5,80.0,150,6.32, 8.41, 750.08, 844.21
22.5,76.0,50,8.63, 8.64, 766.18, 766.86
26.0,75.0,150,9.41, 9.45, 976.91, 977.99
29.5,78.0,200,9.28, 9.3, 1027.46, 1027.99
26.5,79.0,150,8.43, 8.67, 831.91, 837.13
19.5,80.5,200,7.88, 8.36, 801.53, 824.2
29.5,77.0,200,9.43, 9.44, 1025.44, 1026.16
22.5,74.5,150,9.46, 9.53, 1009.52, 1012.63
22.0,74.0,50,8.36, 8.41, 763.66, 764.33
19.0,79.0,150,3.86, 6.33, 540.55, 587.9
14.5,77.0,200,9.13, 9.66, 1307.11, 1404.68
34.5,78.5,50,8.27, 8.3, 723.76, 724.32
25.5,78.0,50,8.02, 8.05, 667.52, 670.71
27.5,76.5,150,9.46, 9.48, 982.44, 983.46
29.0,78.0,200,9.29, 9.32, 1027.38, 1028.19
19.5,78.5,10,3.63, 4.54, 285.29, 334.43
30.0,77.0,100,9.12, 9.14, 851.86, 852.1
25.5,77.5,50,8.3, 8.42, 727.43, 727.66
19.5,75.0,50,8.68, 8.69, 816.07, 816.96
27.0,78.5,10,6.8, 6.88, 464.91, 465.53
26.0,79.0,50,7.25, 7.58, 596.79, 605.39
24.0,75.5,50,8.67, 8.7, 766.06, 766.47
24.0,72.5,100,9.1, 9.1, 889.75, 889.96
25.5,80.5,200,8.28, 8.38, 785.46, 792.63
25.5,75.5,150,9.57, 9.62, 1002.57, 1003.76
17.0,75.5,10,7.34, 7.35, 555.35, 555.92
18.5,72.5,200,9.39, 9.45, 1029.8699951171875, 1030.32
23.0,77.5,100,7.34, 8.82, 848.21, 930.98
28.0,76.0,150,9.41, 9.43, 948.65, 950.49
12.5,78.0,10,6.46, 6.68, 395.92, 399.71
21.0,76.0,100,9.24, 9.28, 910.66, 911.18
32.0,76.5,100,9.09, 9.1, 841.47, 841.73
