lat,long,PVOUT_csi (kWh/kWp),DNI (kWh/m2),GHI (kWh/m2),DIF (kWh/m2),GTI_opta (kWh/m2),OPTA (°),TEMP (°C),ELE (m)
8.23549,77.550294,1539.59716796875, 1369.046875, 1938.1640625, 916.0390625, 1965.171875, 11, 27.875, 87
27.231708,70.30371,1744.5704345703125, 1664.4765625, 2043.09375, 926.2578125, 2256.2421875, 29, 27.625, 130
30.82546,78.967529,1569.2900390625, 1188.859375, 1478.46875, 687.5625, 1665.90625, 36, -7.875, 5102
13.070384,80.200195,1547.767578125, 1321.0078125, 1930.5703125, 950.015625, 1975.2421875, 14, 28.25, 10
15.621395,73.876465,1561.34765625, 1347.734375, 1895.3359375, 931.546875, 1994.6640625, 20, 27, 18
21.824384,70.839844,1706.4754638671875, 1794.3828125, 2032.796875, 822.7421875, 2203.25, 25, 26.75, 110
17.668997,79.58606,1578.7667236328125, 1390.9296875, 1924.40625, 926.859375, 2024.46875, 21, 27.6875, 245
